date,coal_price_usd,nickel_price_usd,usd_idr,coal_price_idr,nickel_price_idr,year,month,month_name,coal_mom_change,nickel_mom_change,coal_yoy_change,nickel_yoy_change,coal_ma3,coal_ma12,nickel_ma3,nickel_ma12,coal_volatility,nickel_volatility,coal_nickel_ratio,coal_above_ma12,nickel_above_ma12,market_period
1993-01-01,35.0,5948.10009765625,2063.5,72222.5,12273904.551513672,1993,1,Jan,0.0,3.423807129604106,-11.392405063291145,-21.019889562654214,35.0,38.1875,5764.335123697917,6883.5598551432295,2.0257574341016693,774.1434938381553,0.00588423184300331,0,0,Pre-2000
1993-02-01,31.0,6050.75,2062.15,63926.65,12477554.1125,1993,2,Feb,-11.428571428571432,1.725759497292212,-21.518987341772156,-23.291708924949294,33.666666666666664,37.479166666666664,5916.68017578125,6730.4556884765625,2.845367713361917,738.2818665712286,0.005123331818369624,0,0,Pre-2000
1993-03-01,31.0,5974.9130859375,2066.31818181818,64055.86363636359,12346071.544256028,1993,3,Mar,0.0,-1.2533473381398985,-21.518987341772156,-19.588867396191723,32.333333333333336,36.770833333333336,5991.25439453125,6609.1605224609375,3.315696713659093,732.3658133837148,0.00518835999019991,0,0,Pre-2000
1993-04-01,31.0,5987.5,2070.90476190476,64198.04761904756,12399542.261904752,1993,4,Apr,0.0,0.21066271394181157,-21.518987341772156,-19.28364232564006,31.0,36.0625,6004.3876953125,6489.9562581380205,3.57727200531355,704.6443423818768,0.005177453027139875,0,0,Pre-2000
1993-05-01,31.0,5777.78955078125,2080.07894736842,64482.44736842102,12018258.406905318,1993,5,May,0.0,-3.5024709681628408,-21.518987341772156,-21.21855609921861,31.0,35.354166666666664,5913.40087890625,6360.276448567708,3.674943310220359,677.8856503184841,0.005365373682710251,0,0,Pre-2000
1993-06-01,31.0,5544.318359375,2085.28571428571,64643.85714285701,11561487.870256674,1993,6,Jun,0.0,-4.040839309813227,-21.518987341772156,-23.02084547986365,31.0,34.645833333333336,5769.869303385417,6222.106038411458,3.621994574398165,659.3663022943125,0.005591309515547835,0,0,Pre-2000
1993-07-01,31.0,5051.181640625,2093.05882352941,64884.8235294117,10572420.302159917,1993,7,Jul,0.0,-8.894451703267459,-21.518987341772156,-32.7958379338723,31.0,33.9375,5457.76318359375,6016.690022786458,3.411419659160854,600.9467344319378,0.0061371778339304114,0,0,Pre-2000
1993-08-01,31.0,4740.47607421875,2096.6,64994.6,9938882.137207031,1993,8,Aug,0.0,-6.151146177507194,-21.518987341772156,-34.88133419116385,31.0,33.229166666666664,5111.992024739583,5805.0838623046875,3.0103200021179806,561.5386560402651,0.006539427583781008,0,0,Pre-2000
1993-09-01,31.0,4376.04541015625,2103.49000245,65208.19007594999,9204967.77053088,1993,9,Sep,0.0,-7.6876385062772385,-21.518987341772156,-36.74929967995452,31.0,32.520833333333336,4722.567708333333,5593.206624348958,2.3219758762091116,582.4847395837611,0.007084021552439311,0,0,Pre-2000
1993-10-01,31.0,4464.85693359375,2104.45263673684,65238.03173884204,9396079.946554128,1993,10,Oct,0.0,2.0294927294716825,-16.778523489932883,-29.381464079181498,31.0,32.0,4527.126139322917,5438.4030354817705,1.8090680674666129,616.8768533119462,0.006943111607172639,0,0,Pre-2000
1993-11-01,31.0,4642.27294921875,2099.09090909091,65071.818181818206,9744552.945223726,1993,11,Nov,0.0,3.9736103141427837,-11.428571428571432,-17.0091240098576,31.0,31.666666666666668,4494.391764322917,5359.1162109375,1.5569978883230835,655.0622540562902,0.006677763315321001,0,0,Pre-2000
1993-12-01,31.0,5139.7998046875,2103.42105263158,65206.05263157898,10811163.115491372,1993,12,Dec,0.0,10.717311560762033,-11.428571428571432,-10.63067955190663,31.0,31.333333333333332,4748.9765625,5308.1669921875,1.1547005383793039,645.5019007034585,0.006031363317249824,0,0,Pre-2000
1994-01-01,31.0,5584.0478515625,2109.71428571429,65401.142857142986,11780745.524553595,1994,1,Jan,0.0,8.643294753812114,-11.428571428571432,-6.120479482804919,31.0,31.0,5122.040201822917,5277.8293050130205,0.0,620.7730596798425,0.005551528357932272,0,1,Pre-2000
1994-02-01,31.0,5830.10009765625,2122.61111111111,65800.94444444441,12375035.246175123,1994,2,Feb,0.0,4.406342005556074,0.0,-3.6466537593480175,31.0,31.0,5517.982584635417,5259.441813151042,0.0,598.6720560199685,0.005317232891500828,0,1,Pre-2000
1994-03-01,29.5,5590.4345703125,2148.345459,63376.1910405,12010184.722967476,1994,3,Mar,-4.8387096774193505,-4.110830403068,-4.8387096774193505,-6.434880476000648,30.5,30.875,5668.194173177083,5227.401936848958,0.4330127018923662,566.3141560107764,0.005276870631248793,0,1,Pre-2000
